ID;checking_status;credit_history;duration;credit_amount;installment_commitment;residence_since;age;existing_credits;num_dependents;class
1;<0;critical/other existing credit;6;1169;4;4;67;2;1;good
2;0<=X<200;existing paid;48;5951;2;2;22;1;1;bad
3;no checking;critical/other existing credit;12;2096;2;3;49;1;2;good
4;<0;existing paid;42;7882;2;4;45;1;2;good
5;<0;delayed previously;24;4870;3;4;53;2;2;bad
6;no checking;existing paid;36;9055;2;4;35;1;2;good
7;no checking;existing paid;24;2835;3;4;53;1;1;good
8;0<=X<200;existing paid;36;6948;2;2;35;1;1;good
9;no checking;existing paid;12;3059;2;4;61;1;1;good
10;0<=X<200;critical/other existing credit;30;5234;4;2;28;2;1;bad
11;0<=X<200;existing paid;12;1295;3;1;25;1;1;bad
12;<0;existing paid;48;4308;3;4;24;1;1;bad
13;0<=X<200;existing paid;12;1567;1;1;22;1;1;good
14;<0;critical/other existing credit;24;1199;4;4;60;2;1;bad
15;<0;existing paid;15;1403;2;4;28;1;1;good
16;<0;existing paid;24;1282;4;2;32;1;1;bad
17;no checking;critical/other existing credit;24;2424;4;4;53;2;1;good
18;<0;no credits/all paid;30;8072;2;3;25;3;1;good
19;0<=X<200;existing paid;24;12579;4;2;44;1;1;bad
20;no checking;existing paid;24;3430;3;2;31;1;2;good
21;no checking;critical/other existing credit;9;2134;4;4;48;3;1;good
22;<0;existing paid;6;2647;2;3;44;1;2;good
23;<0;critical/other existing credit;10;2241;1;3;48;2;2;good
24;0<=X<200;critical/other existing credit;12;1804;3;4;44;1;1;good
25;no checking;critical/other existing credit;10;2069;2;1;26;2;1;good
26;<0;existing paid;6;1374;1;2;36;1;1;good
27;no checking;no credits/all paid;6;426;4;4;39;1;1;good
28;>=200;all paid;12;409;3;3;42;2;1;good
29;0<=X<200;existing paid;7;2415;3;2;34;1;1;good
30;<0;delayed previously;60;6836;3;4;63;2;1;bad
31;0<=X<200;existing paid;18;1913;3;3;36;1;1;good
32;<0;existing paid;24;4020;2;2;27;1;1;good
33;0<=X<200;existing paid;18;5866;2;2;30;2;1;good
34;no checking;critical/other existing credit;12;1264;4;4;57;1;1;good
35;>=200;existing paid;12;1474;4;1;33;1;1;good
36;0<=X<200;critical/other existing credit;45;4746;4;2;25;2;1;bad
37;no checking;critical/other existing credit;48;6110;1;3;31;1;1;good
38;>=200;existing paid;18;2100;4;2;37;1;1;bad
39;>=200;existing paid;10;1225;2;2;37;1;1;good
40;0<=X<200;existing paid;9;458;4;3;24;1;1;good
41;no checking;existing paid;30;2333;4;2;30;1;1;good
42;0<=X<200;existing paid;12;1158;3;1;26;1;1;good
43;0<=X<200;delayed previously;18;6204;2;4;44;1;2;good
44;<0;critical/other existing credit;30;6187;1;4;24;2;1;good
45;<0;critical/other existing credit;48;6143;4;4;58;2;1;bad
46;no checking;critical/other existing credit;11;1393;4;4;35;2;1;good
47;no checking;existing paid;36;2299;4;4;39;1;1;good
48;<0;existing paid;6;1352;1;2;23;1;1;good
49;no checking;critical/other existing credit;11;7228;1;4;39;2;1;good
50;no checking;existing paid;12;2073;4;2;28;1;1;good
51;0<=X<200;delayed previously;24;2333;4;2;29;1;1;good
52;0<=X<200;delayed previously;27;5965;1;2;30;2;1;good
53;no checking;existing paid;12;1262;3;2;25;1;1;good
54;no checking;existing paid;18;3378;2;1;31;1;1;good
55;0<=X<200;delayed previously;36;2225;4;4;57;2;1;bad
56;no checking;all paid;6;783;1;2;26;1;2;good
57;0<=X<200;existing paid;12;6468;2;1;52;1;1;bad
58;no checking;critical/other existing credit;36;9566;2;2;31;2;1;good
59;>=200;existing paid;18;1961;3;2;23;1;1;good
60;<0;critical/other existing credit;36;6229;4;4;23;2;1;bad
61;0<=X<200;existing paid;9;1391;2;1;27;1;1;good
62;0<=X<200;critical/other existing credit;15;1537;4;4;50;2;1;good
63;0<=X<200;no credits/all paid;36;1953;4;4;61;1;1;bad
64;0<=X<200;no credits/all paid;48;14421;2;2;25;1;1;bad
65;no checking;existing paid;24;3181;4;4;26;1;1;good
66;no checking;existing paid;27;5190;4;4;48;4;2;good
67;no checking;existing paid;12;2171;2;2;29;1;1;good
68;0<=X<200;existing paid;12;1007;4;1;22;1;1;good
69;no checking;existing paid;36;1819;4;4;37;1;1;bad
70;no checking;existing paid;36;2394;4;4;25;1;1;good
71;no checking;existing paid;36;8133;1;2;30;1;1;good
72;no checking;critical/other existing credit;7;730;4;2;46;2;1;good
73;<0;critical/other existing credit;8;1164;3;4;51;2;2;good
74;0<=X<200;critical/other existing credit;42;5954;2;1;41;2;1;good
75;<0;existing paid;36;1977;4;4;40;1;1;bad
76;<0;critical/other existing credit;12;1526;4;4;66;2;1;good
77;<0;existing paid;42;3965;4;3;34;1;1;bad
78;0<=X<200;delayed previously;11;4771;2;4;51;1;1;good
79;no checking;no credits/all paid;54;9436;2;2;39;1;2;good
80;0<=X<200;existing paid;30;3832;2;1;22;1;1;good
81;no checking;existing paid;24;5943;1;1;44;2;1;bad
82;no checking;existing paid;15;1213;4;3;47;1;1;good
83;no checking;existing paid;18;1568;3;4;24;1;1;good
84;<0;existing paid;24;1755;4;4;58;1;1;good
85;<0;existing paid;10;2315;3;4;52;1;1;good
86;no checking;critical/other existing credit;12;1412;4;2;29;2;1;good
87;0<=X<200;critical/other existing credit;18;1295;4;1;27;2;1;good
88;0<=X<200;existing paid;36;12612;1;4;47;1;2;bad
89;<0;existing paid;18;2249;4;3;30;1;2;good
90;<0;no credits/all paid;12;1108;4;3;28;2;1;bad
91;no checking;critical/other existing credit;12;618;4;4;56;1;1;good
92;<0;critical/other existing credit;12;1409;4;3;54;1;1;good
93;no checking;critical/other existing credit;12;797;4;3;33;1;2;bad
94;>=200;critical/other existing credit;24;3617;4;4;20;2;1;good
95;0<=X<200;existing paid;12;1318;4;4;54;1;1;good
96;0<=X<200;no credits/all paid;54;15945;3;4;58;1;1;bad
97;no checking;critical/other existing credit;12;2012;4;2;61;1;1;good
98;0<=X<200;existing paid;18;2622;4;4;34;1;1;good
99;0<=X<200;critical/other existing credit;36;2337;4;4;36;1;1;good
100;0<=X<200;delayed previously;20;7057;3;4;36;2;2;good
101;no checking;existing paid;24;1469;4;4;41;1;1;good
102;0<=X<200;existing paid;36;2323;4;4;24;1;1;good
103;no checking;delayed previously;6;932;3;2;24;1;1;good
104;0<=X<200;critical/other existing credit;9;1919;4;3;35;1;1;good
105;no checking;existing paid;12;2445;2;4;26;1;1;good
106;0<=X<200;critical/other existing credit;24;11938;2;3;39;2;2;bad
107;no checking;all paid;18;6458;2;4;39;2;2;bad
108;0<=X<200;existing paid;12;6078;2;2;32;1;1;good
109;<0;existing paid;24;7721;1;2;30;1;1;good
110;0<=X<200;existing paid;14;1410;1;2;35;1;1;good
111;0<=X<200;delayed previously;6;1449;1;2;31;2;2;good
112;>=200;existing paid;15;392;4;4;23;1;1;good
113;0<=X<200;existing paid;18;6260;3;3;28;1;1;good
114;no checking;critical/other existing credit;36;7855;4;2;25;2;1;bad
115;<0;existing paid;12;1680;3;1;35;1;1;good
116;no checking;critical/other existing credit;48;3578;4;1;47;1;1;good
117;<0;existing paid;42;7174;4;3;30;1;1;bad
118;<0;critical/other existing credit;10;2132;2;3;27;2;1;good
119;<0;critical/other existing credit;33;4281;1;4;23;2;1;bad
120;0<=X<200;critical/other existing credit;12;2366;3;3;36;1;1;good
121;<0;existing paid;21;1835;3;2;25;2;1;bad
122;no checking;critical/other existing credit;24;3868;4;2;41;2;1;good
123;no checking;existing paid;12;1768;3;2;24;1;1;good
124;>=200;critical/other existing credit;10;781;4;4;63;2;1;good
125;0<=X<200;existing paid;18;1924;4;3;27;1;1;bad
126;<0;critical/other existing credit;12;2121;4;2;30;2;1;good
127;<0;existing paid;12;701;4;2;40;1;1;good
128;0<=X<200;existing paid;12;639;4;2;30;1;1;bad
129;0<=X<200;critical/other existing credit;12;1860;4;2;34;2;1;good
130;<0;critical/other existing credit;12;3499;3;2;29;2;1;bad
131;0<=X<200;existing paid;48;8487;1;2;24;1;1;good
132;<0;delayed previously;36;6887;4;3;29;1;1;bad
133;no checking;existing paid;15;2708;2;3;27;2;1;good
134;no checking;existing paid;18;1984;4;4;47;2;1;good
135;no checking;existing paid;60;10144;2;4;21;1;1;good
136;no checking;critical/other existing credit;12;1240;4;2;38;2;1;good
137;no checking;delayed previously;27;8613;2;2;27;2;1;good
138;0<=X<200;existing paid;12;766;4;3;66;1;1;bad
139;0<=X<200;critical/other existing credit;15;2728;4;2;35;3;1;good
140;>=200;existing paid;12;1881;2;2;44;1;1;good
141;>=200;existing paid;6;709;2;2;27;1;1;good
142;0<=X<200;existing paid;36;4795;4;1;30;1;1;good
143;<0;existing paid;27;3416;3;2;27;1;1;good
144;<0;existing paid;18;2462;2;2;22;1;1;bad
145;no checking;critical/other existing credit;21;2288;4;4;23;1;1;good
146;0<=X<200;all paid;48;3566;4;2;30;1;1;good
147;<0;critical/other existing credit;6;860;1;4;39;2;1;good
148;no checking;critical/other existing credit;12;682;4;3;51;2;1;good
149;<0;critical/other existing credit;36;5371;3;2;28;2;1;good
150;no checking;critical/other existing credit;18;1582;4;4;46;2;1;good
151;no checking;existing paid;6;1346;2;4;42;1;2;good
152;no checking;existing paid;10;1924;1;4;38;1;1;good
153;>=200;existing paid;36;5848;4;1;24;1;1;good
154;0<=X<200;critical/other existing credit;24;7758;2;4;29;1;1;good
155;0<=X<200;delayed previously;24;6967;4;4;36;1;1;good
156;<0;existing paid;12;1282;2;4;20;1;1;bad
157;<0;critical/other existing credit;9;1288;3;4;48;2;2;good
158;<0;all paid;12;339;4;1;45;1;1;good
159;0<=X<200;existing paid;24;3512;2;3;38;2;1;good
160;no checking;critical/other existing credit;6;1898;1;2;34;2;2;good
161;no checking;critical/other existing credit;24;2872;3;4;36;1;2;good
162;no checking;critical/other existing credit;18;1055;4;1;30;2;1;good
163;no checking;existing paid;15;1262;4;3;36;2;1;good
164;0<=X<200;existing paid;10;7308;2;4;70;1;1;good
165;no checking;existing paid;36;909;4;4;36;1;1;good
166;no checking;existing paid;6;2978;1;2;32;1;1;good
167;<0;existing paid;18;1131;4;2;33;1;1;bad
168;0<=X<200;existing paid;11;1577;4;1;20;1;1;good
169;no checking;existing paid;24;3972;2;4;25;1;1;good
170;0<=X<200;critical/other existing credit;24;1935;4;4;31;2;1;bad
171;<0;no credits/all paid;15;950;4;3;33;2;2;bad
172;no checking;existing paid;12;763;4;1;26;1;1;good
173;0<=X<200;delayed previously;24;2064;3;2;34;1;1;bad
174;0<=X<200;existing paid;8;1414;4;2;33;1;1;good
175;<0;delayed previously;21;3414;2;1;26;2;1;bad
176;no checking;all paid;30;7485;4;1;53;1;1;bad
177;<0;existing paid;12;2577;2;1;42;1;1;good
178;<0;critical/other existing credit;6;338;4;4;52;2;1;good
179;no checking;existing paid;12;1963;4;2;31;2;2;good
180;<0;critical/other existing credit;21;571;4;4;65;2;1;good
181;no checking;delayed previously;36;9572;1;1;28;2;1;bad
182;0<=X<200;delayed previously;36;4455;2;2;30;2;1;bad
183;<0;all paid;21;1647;4;2;40;2;2;bad
184;no checking;critical/other existing credit;24;3777;4;4;50;1;1;good
185;0<=X<200;critical/other existing credit;18;884;4;4;36;1;2;bad
186;no checking;critical/other existing credit;15;1360;4;2;31;2;1;good
187;0<=X<200;all paid;9;5129;2;4;74;1;2;bad
188;0<=X<200;critical/other existing credit;16;1175;2;3;68;3;1;good
189;<0;existing paid;12;674;4;1;20;1;1;bad
190;0<=X<200;no credits/all paid;18;3244;1;4;33;2;1;good
191;no checking;existing paid;24;4591;2;3;54;3;1;bad
192;0<=X<200;no credits/all paid;48;3844;4;4;34;1;2;bad
193;0<=X<200;existing paid;27;3915;4;2;36;1;2;bad
194;no checking;existing paid;6;2108;2;2;29;1;1;good
195;0<=X<200;existing paid;45;3031;4;4;21;1;1;bad
196;0<=X<200;critical/other existing credit;9;1501;2;3;34;2;1;bad
197;no checking;critical/other existing credit;6;1382;1;1;28;2;1;good
198;0<=X<200;existing paid;12;951;4;4;27;4;1;bad
199;0<=X<200;existing paid;24;2760;4;4;36;1;1;good
200;0<=X<200;delayed previously;18;4297;4;3;40;1;1;bad
201;no checking;critical/other existing credit;9;936;4;2;52;2;1;good
202;<0;existing paid;12;1168;4;3;27;1;1;good
203;no checking;delayed previously;27;5117;3;4;26;2;1;good
204;<0;existing paid;12;902;4;4;21;1;1;bad
205;no checking;critical/other existing credit;12;1495;4;1;38;2;2;good
206;<0;critical/other existing credit;30;10623;3;4;38;3;2;good
207;no checking;critical/other existing credit;12;1935;4;4;43;3;1;good
208;0<=X<200;critical/other existing credit;12;1424;4;3;26;1;1;good
209;<0;existing paid;24;6568;2;2;21;1;1;good
210;no checking;existing paid;12;1413;3;2;55;1;1;good
211;no checking;critical/other existing credit;9;3074;1;2;33;2;2;good
212;no checking;existing paid;36;3835;2;4;45;1;1;good
213;<0;no credits/all paid;27;5293;2;4;50;2;1;bad
214;>=200;delayed previously;30;1908;4;4;66;1;1;bad
215;no checking;critical/other existing credit;36;3342;4;2;51;1;1;good
216;0<=X<200;critical/other existing credit;6;932;1;3;39;2;1;good
217;<0;no credits/all paid;18;3104;3;1;31;1;1;good
218;>=200;existing paid;36;3913;2;2;23;1;1;good
219;<0;existing paid;24;3021;2;2;24;1;1;good
220;no checking;existing paid;10;1364;2;4;64;1;1;good
221;0<=X<200;existing paid;12;625;4;1;26;1;1;good
222;<0;existing paid;12;1200;4;4;23;1;1;good
223;no checking;existing paid;12;707;4;2;30;2;1;good
224;no checking;delayed previously;24;2978;4;4;32;2;2;good
225;no checking;existing paid;15;4657;3;2;30;1;1;good
226;no checking;no credits/all paid;36;2613;4;2;27;2;1;good
227;0<=X<200;existing paid;48;10961;1;2;27;2;1;bad
228;<0;existing paid;12;7865;4;4;53;1;1;bad
229;no checking;existing paid;9;1478;4;2;22;1;1;bad
230;<0;existing paid;24;3149;4;1;22;1;1;good
231;>=200;existing paid;36;4210;4;2;26;1;1;bad
232;no checking;existing paid;9;2507;2;4;51;1;1;good
233;no checking;existing paid;12;2141;3;1;35;1;1;good
234;0<=X<200;existing paid;18;866;4;2;25;1;1;good
235;no checking;critical/other existing credit;4;1544;2;1;42;3;2;good
236;<0;existing paid;24;1823;4;2;30;1;2;bad
237;0<=X<200;existing paid;6;14555;1;2;23;1;1;bad
238;0<=X<200;existing paid;21;2767;4;2;61;2;1;bad
239;no checking;critical/other existing credit;12;1291;4;2;35;2;1;good
240;<0;existing paid;30;2522;1;3;39;1;2;good
241;<0;existing paid;24;915;4;2;29;1;1;bad
242;no checking;existing paid;6;1595;3;2;51;1;2;good
243;<0;no credits/all paid;48;4605;3;4;24;2;2;bad
244;no checking;critical/other existing credit;12;1185;3;2;27;2;1;good
245;no checking;all paid;12;3447;4;3;35;1;2;good
246;no checking;existing paid;24;1258;4;1;25;1;1;good
247;no checking;critical/other existing credit;12;717;4;4;52;3;1;good
248;no checking;no credits/all paid;6;1204;4;1;35;1;1;good
249;>=200;existing paid;24;1925;2;2;26;1;1;good
250;no checking;existing paid;18;433;3;4;22;1;1;bad
251;<0;critical/other existing credit;6;666;3;4;39;2;1;good
252;>=200;existing paid;12;2251;1;2;46;1;1;good
253;0<=X<200;existing paid;30;2150;4;2;24;1;1;bad
254;no checking;delayed previously;24;4151;2;3;35;2;1;good
255;0<=X<200;existing paid;9;2030;2;1;24;1;1;good
256;0<=X<200;delayed previously;60;7418;1;1;27;1;1;good
257;no checking;critical/other existing credit;24;2684;4;2;35;2;1;good
258;<0;all paid;12;2149;4;1;29;1;1;bad
259;no checking;existing paid;15;3812;1;4;23;1;1;good
260;no checking;critical/other existing credit;11;1154;4;4;57;3;1;good
261;<0;existing paid;12;1657;2;2;27;1;1;good
262;<0;existing paid;24;1603;4;4;55;1;1;good
263;<0;critical/other existing credit;18;5302;2;4;36;3;1;good
264;no checking;critical/other existing credit;12;2748;2;4;57;3;1;good
265;no checking;critical/other existing credit;10;1231;3;4;32;2;2;good
266;0<=X<200;existing paid;15;802;4;3;37;1;2;bad
267;no checking;critical/other existing credit;36;6304;4;4;36;2;1;good
268;no checking;existing paid;24;1533;4;3;38;1;1;good
269;<0;existing paid;14;8978;1;4;45;1;1;bad
270;no checking;existing paid;24;999;4;2;25;2;1;good
271;no checking;existing paid;18;2662;4;3;32;1;1;good
272;no checking;critical/other existing credit;12;1402;3;4;37;1;1;good
273;0<=X<200;all paid;48;12169;4;4;36;1;1;good
274;0<=X<200;existing paid;48;3060;4;4;28;2;1;bad
275;<0;existing paid;30;11998;1;1;34;1;1;bad
276;no checking;existing paid;9;2697;1;2;32;1;2;good
277;no checking;critical/other existing credit;18;2404;2;2;26;2;1;good
278;<0;existing paid;12;1262;2;4;49;1;1;good
279;no checking;existing paid;6;4611;1;4;32;1;1;bad
280;no checking;existing paid;24;1901;4;4;29;1;1;good
281;no checking;critical/other existing credit;15;3368;3;4;23;2;1;good
282;no checking;existing paid;12;1574;4;2;50;1;1;good
283;>=200;all paid;18;1445;4;4;49;1;1;good
284;no checking;critical/other existing credit;15;1520;4;4;63;1;1;good
285;0<=X<200;critical/other existing credit;24;3878;4;2;37;1;1;good
286;<0;existing paid;47;10722;1;1;35;1;1;good
287;<0;existing paid;48;4788;4;3;26;1;2;good
288;0<=X<200;delayed previously;48;7582;2;4;31;1;1;good
289;0<=X<200;existing paid;12;1092;4;4;49;2;1;good
290;<0;delayed previously;24;1024;4;4;48;1;1;bad
291;no checking;existing paid;12;1076;2;2;26;1;1;good
292;0<=X<200;existing paid;36;9398;1;4;28;1;1;bad
293;<0;critical/other existing credit;24;6419;2;4;44;2;2;good
294;>=200;critical/other existing credit;42;4796;4;4;56;1;1;good
295;no checking;critical/other existing credit;48;7629;4;2;46;2;2;good
296;0<=X<200;existing paid;48;9960;1;2;26;1;1;bad
297;no checking;existing paid;12;4675;1;4;20;1;1;good
298;no checking;existing paid;10;1287;4;2;45;1;1;good
299;no checking;existing paid;18;2515;3;4;43;1;1;good
300;0<=X<200;critical/other existing credit;21;2745;3;2;32;2;1;good
301;no checking;existing paid;6;672;1;4;54;1;1;good
302;0<=X<200;no credits/all paid;36;3804;4;1;42;1;1;bad
303;>=200;critical/other existing credit;24;1344;4;2;37;2;2;bad
304;<0;critical/other existing credit;10;1038;4;3;49;2;1;good
305;no checking;critical/other existing credit;48;10127;2;2;44;1;1;bad
306;no checking;existing paid;6;1543;4;2;33;1;1;good
307;no checking;existing paid;30;4811;2;4;24;1;1;good
308;<0;existing paid;12;727;4;3;33;1;1;bad
309;0<=X<200;existing paid;8;1237;3;4;24;1;1;bad
310;0<=X<200;existing paid;9;276;4;4;22;1;1;good
311;0<=X<200;existing paid;48;5381;3;4;40;1;1;good
312;no checking;existing paid;24;5511;4;1;25;1;1;good
313;>=200;existing paid;24;3749;2;4;26;1;1;good
314;0<=X<200;existing paid;12;685;2;3;25;1;1;bad
315;>=200;existing paid;4;1494;1;2;29;1;2;good
316;<0;all paid;36;2746;4;4;31;1;1;bad
317;<0;existing paid;12;708;2;3;38;1;2;good
318;0<=X<200;existing paid;24;4351;1;4;48;1;1;good
319;no checking;critical/other existing credit;12;701;4;2;32;2;1;good
320;<0;delayed previously;15;3643;1;4;27;2;1;good
321;0<=X<200;critical/other existing credit;30;4249;4;2;28;2;1;bad
322;<0;existing paid;24;1938;4;3;32;1;1;bad
323;<0;existing paid;24;2910;2;1;34;1;1;good
324;<0;existing paid;18;2659;4;2;28;1;1;good
325;no checking;critical/other existing credit;18;1028;4;3;36;2;1;good
326;<0;critical/other existing credit;8;3398;1;4;39;2;1;good
327;no checking;critical/other existing credit;12;5801;2;4;49;1;1;good
328;no checking;existing paid;24;1525;4;3;34;1;2;good
329;>=200;existing paid;36;4473;4;2;31;1;1;good
330;0<=X<200;existing paid;6;1068;4;4;28;1;2;good
331;<0;critical/other existing credit;24;6615;2;4;75;2;1;good
