ID;checking_status;credit_history;duration;credit_amount;installment_commitment;residence_since;age;existing_credits;num_dependents;class
669;<0;critical/other existing credit;12;4843;3;4;43;2;1;bad
670;>=200;critical/other existing credit;30;3017;4;4;47;1;1;good
671;no checking;critical/other existing credit;24;4139;3;3;27;2;1;good
672;no checking;existing paid;36;5742;2;2;31;2;1;good
673;no checking;existing paid;60;10366;2;4;42;1;1;good
674;no checking;critical/other existing credit;6;2080;1;2;24;1;1;good
675;no checking;delayed previously;21;2580;4;2;41;1;2;bad
676;no checking;critical/other existing credit;30;4530;4;4;26;1;1;good
677;no checking;critical/other existing credit;24;5150;4;4;33;1;1;good
678;0<=X<200;existing paid;72;5595;2;2;24;1;1;bad
679;<0;existing paid;24;2384;4;4;64;1;1;good
680;no checking;existing paid;18;1453;3;1;26;1;1;good
681;no checking;existing paid;6;1538;1;2;56;1;1;good
682;no checking;existing paid;12;2279;4;4;37;1;1;good
683;no checking;delayed previously;15;1478;4;3;33;2;1;good
684;no checking;critical/other existing credit;24;5103;3;3;47;3;1;good
685;0<=X<200;delayed previously;36;9857;1;3;31;2;2;good
686;no checking;existing paid;60;6527;4;4;34;1;2;good
687;>=200;critical/other existing credit;10;1347;4;2;27;2;1;good
688;0<=X<200;delayed previously;36;2862;4;3;30;1;1;good
689;no checking;existing paid;9;2753;3;4;35;1;1;good
690;<0;existing paid;12;3651;1;3;31;1;2;good
691;<0;critical/other existing credit;15;975;2;3;25;2;1;good
692;0<=X<200;existing paid;15;2631;3;2;25;1;1;good
693;0<=X<200;existing paid;24;2896;2;1;29;1;1;good
694;<0;critical/other existing credit;6;4716;1;3;44;2;2;good
695;no checking;existing paid;24;2284;4;2;28;1;1;good
696;no checking;existing paid;6;1236;2;4;50;1;1;good
697;0<=X<200;existing paid;12;1103;4;3;29;2;1;good
698;no checking;critical/other existing credit;12;926;1;2;38;1;1;good
699;no checking;critical/other existing credit;18;1800;4;2;24;2;1;good
700;>=200;existing paid;15;1905;4;4;40;1;1;good
701;no checking;existing paid;12;1123;4;4;29;1;1;bad
702;<0;critical/other existing credit;48;6331;4;4;46;2;1;bad
703;>=200;existing paid;24;1377;4;2;47;1;1;good
704;0<=X<200;delayed previously;30;2503;4;2;41;2;1;good
705;0<=X<200;existing paid;27;2528;4;1;32;1;2;good
706;no checking;existing paid;15;5324;1;4;35;1;1;good
707;0<=X<200;existing paid;48;6560;3;2;24;1;1;bad
708;0<=X<200;no credits/all paid;12;2969;4;3;25;2;1;bad
709;0<=X<200;existing paid;9;1206;4;4;25;1;1;good
710;0<=X<200;existing paid;9;2118;2;2;37;1;2;good
711;no checking;critical/other existing credit;18;629;4;3;32;2;1;good
712;<0;all paid;6;1198;4;4;35;1;1;bad
713;no checking;existing paid;21;2476;4;4;46;1;1;good
714;<0;critical/other existing credit;9;1138;4;4;25;2;1;good
715;0<=X<200;existing paid;60;14027;4;2;27;1;1;bad
716;no checking;critical/other existing credit;30;7596;1;4;63;2;1;good
717;no checking;critical/other existing credit;30;3077;3;2;40;2;2;good
718;no checking;existing paid;18;1505;4;2;32;1;1;good
719;>=200;critical/other existing credit;24;3148;3;2;31;2;1;good
720;0<=X<200;no credits/all paid;20;6148;3;4;31;2;1;good
721;>=200;no credits/all paid;9;1337;4;2;34;2;1;bad
722;0<=X<200;all paid;6;433;4;2;24;1;2;bad
723;<0;existing paid;12;1228;4;2;24;1;1;bad
724;0<=X<200;existing paid;9;790;4;3;66;1;1;good
725;no checking;existing paid;27;2570;3;3;21;1;1;bad
726;no checking;critical/other existing credit;6;250;2;2;41;2;1;good
727;no checking;critical/other existing credit;15;1316;2;2;47;2;1;good
728;<0;existing paid;18;1882;4;4;25;2;1;bad
729;0<=X<200;all paid;48;6416;4;3;59;1;1;bad
730;>=200;critical/other existing credit;24;1275;2;4;36;2;1;good
731;0<=X<200;delayed previously;24;6403;1;2;33;1;1;good
732;<0;existing paid;24;1987;2;4;21;1;2;bad
733;0<=X<200;existing paid;8;760;4;2;44;1;1;good
734;no checking;existing paid;24;2603;2;4;28;1;1;good
735;no checking;critical/other existing credit;4;3380;1;1;37;1;2;good
736;0<=X<200;all paid;36;3990;3;2;29;1;1;good
737;0<=X<200;existing paid;24;11560;1;4;23;2;1;bad
738;<0;existing paid;18;4380;3;4;35;1;2;good
739;no checking;critical/other existing credit;6;6761;1;3;45;2;2;good
740;0<=X<200;no credits/all paid;30;4280;4;4;26;2;1;bad
741;<0;all paid;24;2325;2;3;32;1;1;good
742;0<=X<200;all paid;10;1048;4;4;23;1;1;good
743;no checking;existing paid;21;3160;4;3;41;1;1;good
744;<0;all paid;24;2483;4;4;22;1;1;good
745;<0;critical/other existing credit;39;14179;4;4;30;2;1;good
746;<0;critical/other existing credit;13;1797;3;1;28;2;1;good
747;<0;existing paid;15;2511;1;4;23;1;1;good
748;<0;existing paid;12;1274;3;1;37;1;1;bad
749;no checking;existing paid;21;5248;1;3;26;1;1;good
750;no checking;existing paid;15;3029;2;2;33;1;1;good
751;<0;existing paid;6;428;2;1;49;1;1;good
752;<0;existing paid;18;976;1;2;23;1;1;bad
753;0<=X<200;existing paid;12;841;2;4;23;1;1;good
754;no checking;critical/other existing credit;30;5771;4;2;25;2;1;good
755;no checking;delayed previously;12;1555;4;4;55;2;2;bad
756;<0;existing paid;24;1285;4;4;32;1;1;bad
757;>=200;critical/other existing credit;6;1299;1;1;74;3;2;good
758;>=200;critical/other existing credit;15;1271;3;4;39;2;1;bad
759;no checking;existing paid;24;1393;2;2;31;1;1;good
760;<0;critical/other existing credit;12;691;4;3;35;2;1;bad
761;no checking;critical/other existing credit;15;5045;1;4;59;1;1;good
762;<0;critical/other existing credit;18;2124;4;4;24;2;1;bad
763;<0;existing paid;12;2214;4;3;24;1;1;good
764;no checking;critical/other existing credit;21;12680;4;4;30;1;1;bad
765;no checking;critical/other existing credit;24;2463;4;3;27;2;1;good
766;0<=X<200;existing paid;12;1155;3;3;40;2;1;good
767;<0;existing paid;30;3108;2;4;31;1;1;bad
768;no checking;existing paid;10;2901;1;4;31;1;1;good
769;0<=X<200;critical/other existing credit;12;3617;1;4;28;3;1;good
770;no checking;critical/other existing credit;12;1655;2;4;63;2;1;good
771;<0;existing paid;24;2812;2;4;26;1;1;good
772;<0;critical/other existing credit;36;8065;3;2;25;2;1;bad
773;no checking;critical/other existing credit;21;3275;1;4;36;1;1;good
774;no checking;critical/other existing credit;24;2223;4;4;52;2;1;good
775;>=200;critical/other existing credit;12;1480;2;4;66;3;1;good
776;<0;existing paid;24;1371;4;4;25;1;1;bad
777;no checking;critical/other existing credit;36;3535;4;4;37;2;1;good
778;<0;existing paid;18;3509;4;1;25;1;1;good
779;no checking;critical/other existing credit;36;5711;4;2;38;2;1;good
780;0<=X<200;existing paid;18;3872;2;4;67;1;1;good
781;0<=X<200;critical/other existing credit;39;4933;2;2;25;2;1;bad
782;no checking;critical/other existing credit;24;1940;4;4;60;1;1;good
783;0<=X<200;no credits/all paid;12;1410;2;2;31;1;1;good
784;0<=X<200;existing paid;12;836;4;2;23;1;1;bad
785;0<=X<200;existing paid;20;6468;1;4;60;1;1;good
786;0<=X<200;existing paid;18;1941;4;2;35;1;1;good
787;no checking;existing paid;22;2675;3;4;40;1;1;good
788;no checking;critical/other existing credit;48;2751;4;3;38;2;2;good
789;0<=X<200;delayed previously;48;6224;4;4;50;1;1;bad
790;<0;critical/other existing credit;40;5998;4;3;27;1;1;bad
791;0<=X<200;existing paid;21;1188;2;4;39;1;2;bad
792;no checking;existing paid;24;6313;3;4;41;1;2;good
793;no checking;critical/other existing credit;6;1221;1;2;27;2;1;good
794;>=200;existing paid;24;2892;3;4;51;1;1;good
795;no checking;existing paid;24;3062;4;3;32;1;1;good
796;no checking;existing paid;9;2301;2;4;22;1;1;good
797;<0;existing paid;18;7511;1;4;51;1;2;bad
798;no checking;critical/other existing credit;12;1258;2;4;22;2;1;good
799;no checking;delayed previously;24;717;4;4;54;2;1;good
800;0<=X<200;existing paid;9;1549;4;2;35;1;1;good
801;no checking;critical/other existing credit;24;1597;4;4;54;2;2;good
802;0<=X<200;critical/other existing credit;18;1795;3;4;48;2;1;good
803;<0;critical/other existing credit;20;4272;1;4;24;2;1;good
804;no checking;critical/other existing credit;12;976;4;4;35;2;1;good
805;0<=X<200;existing paid;12;7472;1;2;24;1;1;good
806;<0;existing paid;36;9271;2;1;24;1;1;bad
807;0<=X<200;existing paid;6;590;3;3;26;1;1;good
808;no checking;critical/other existing credit;12;930;4;4;65;4;1;good
809;0<=X<200;all paid;42;9283;1;2;55;1;1;good
810;0<=X<200;no credits/all paid;15;1778;2;1;26;2;1;bad
811;0<=X<200;existing paid;8;907;3;2;26;1;1;good
812;0<=X<200;existing paid;6;484;3;3;28;1;1;good
813;<0;critical/other existing credit;36;9629;4;4;24;2;1;bad
814;<0;existing paid;48;3051;3;4;54;1;1;bad
815;<0;existing paid;48;3931;4;4;46;1;2;bad
816;0<=X<200;delayed previously;36;7432;2;2;54;1;1;good
817;no checking;existing paid;6;1338;1;4;62;1;1;good
818;no checking;critical/other existing credit;6;1554;1;2;24;2;1;good
819;<0;existing paid;36;15857;2;3;43;1;1;good
820;<0;existing paid;18;1345;4;3;26;1;1;bad
821;no checking;existing paid;12;1101;3;2;27;2;1;good
822;>=200;existing paid;12;3016;3;1;24;1;1;good
823;<0;existing paid;36;2712;2;2;41;1;2;bad
824;<0;critical/other existing credit;8;731;4;4;47;2;1;good
825;no checking;critical/other existing credit;18;3780;3;2;35;2;1;good
826;<0;critical/other existing credit;21;1602;4;3;30;2;1;good
827;<0;critical/other existing credit;18;3966;1;4;33;3;1;bad
828;no checking;no credits/all paid;18;4165;2;2;36;2;2;bad
829;<0;existing paid;36;8335;3;4;47;1;1;bad
830;0<=X<200;delayed previously;48;6681;4;4;38;1;2;good
831;no checking;delayed previously;24;2375;4;2;44;2;2;good
832;<0;existing paid;18;1216;4;3;23;1;1;bad
833;<0;no credits/all paid;45;11816;2;4;29;2;1;bad
834;0<=X<200;existing paid;24;5084;2;4;42;1;1;good
835;>=200;existing paid;15;2327;2;3;25;1;1;bad
836;<0;no credits/all paid;12;1082;4;4;48;2;1;bad
837;no checking;existing paid;12;886;4;2;21;1;1;good
838;no checking;existing paid;4;601;1;3;23;1;2;good
839;<0;critical/other existing credit;24;2957;4;4;63;2;1;good
840;no checking;critical/other existing credit;24;2611;4;3;46;2;1;good
841;<0;existing paid;36;5179;4;2;29;1;1;bad
842;no checking;delayed previously;21;2993;3;2;28;2;1;good
843;no checking;existing paid;18;1943;4;4;23;1;1;bad
844;no checking;all paid;24;1559;4;4;50;1;1;good
845;no checking;existing paid;18;3422;4;4;47;3;2;good
846;0<=X<200;existing paid;21;3976;2;3;35;1;1;good
847;no checking;existing paid;18;6761;2;4;68;2;1;bad
848;no checking;existing paid;24;1249;4;2;28;1;1;good
849;<0;existing paid;9;1364;3;4;59;1;1;good
850;<0;existing paid;12;709;4;4;57;1;1;bad
851;<0;critical/other existing credit;20;2235;4;2;33;2;1;bad
852;no checking;critical/other existing credit;24;4042;3;4;43;2;1;good
853;no checking;critical/other existing credit;15;1471;4;4;35;2;1;good
854;<0;all paid;18;1442;4;4;32;2;2;bad
855;no checking;delayed previously;36;10875;2;2;45;2;2;good
856;no checking;existing paid;24;1474;4;3;33;1;1;good
857;no checking;existing paid;10;894;4;3;40;1;1;good
858;no checking;critical/other existing credit;15;3343;4;2;28;1;1;good
859;<0;existing paid;15;3959;3;2;29;1;1;bad
860;no checking;existing paid;9;3577;1;2;26;1;2;good
861;no checking;critical/other existing credit;24;5804;4;2;27;2;1;good
862;no checking;delayed previously;18;2169;4;2;28;1;1;bad
863;<0;existing paid;24;2439;4;4;35;1;1;bad
864;no checking;critical/other existing credit;27;4526;4;2;32;2;2;good
865;no checking;existing paid;10;2210;2;2;25;1;1;bad
866;no checking;existing paid;15;2221;2;4;20;1;1;good
867;<0;existing paid;18;2389;4;1;27;1;1;good
868;no checking;critical/other existing credit;12;3331;2;4;42;1;1;good
869;no checking;existing paid;36;7409;3;2;37;2;1;good
870;<0;existing paid;12;652;4;4;24;1;1;good
871;no checking;delayed previously;36;7678;2;4;40;2;1;good
872;>=200;critical/other existing credit;6;1343;1;4;46;2;2;good
873;<0;critical/other existing credit;24;1382;4;1;26;2;1;good
874;no checking;existing paid;15;874;4;1;24;1;1;good
875;<0;existing paid;12;3590;2;2;29;1;2;good
876;0<=X<200;critical/other existing credit;11;1322;4;4;40;2;1;good
877;<0;all paid;18;1940;3;4;36;1;1;good
878;no checking;existing paid;36;3595;4;2;28;1;1;good
879;<0;existing paid;9;1422;3;2;27;1;1;bad
880;no checking;critical/other existing credit;30;6742;2;3;36;2;1;good
881;no checking;existing paid;24;7814;3;3;38;1;1;good
882;no checking;existing paid;24;9277;2;4;48;1;1;good
883;0<=X<200;critical/other existing credit;30;2181;4;4;36;2;1;good
884;no checking;critical/other existing credit;18;1098;4;4;65;2;1;good
885;0<=X<200;existing paid;24;4057;3;3;43;1;1;bad
886;<0;existing paid;12;795;4;4;53;1;1;bad
887;0<=X<200;critical/other existing credit;24;2825;4;3;34;2;2;good
888;0<=X<200;existing paid;48;15672;2;2;23;1;1;bad
889;no checking;critical/other existing credit;36;6614;4;4;34;2;1;good
890;no checking;all paid;28;7824;3;4;40;2;2;good
891;<0;critical/other existing credit;27;2442;4;4;43;4;2;good
892;no checking;critical/other existing credit;15;1829;4;4;46;2;1;good
893;<0;critical/other existing credit;12;2171;4;4;38;2;1;good
894;0<=X<200;critical/other existing credit;36;5800;3;4;34;2;1;good
895;no checking;critical/other existing credit;18;1169;4;3;29;2;1;good
896;no checking;delayed previously;36;8947;3;2;31;1;2;good
897;<0;existing paid;21;2606;4;4;28;1;1;good
898;no checking;critical/other existing credit;12;1592;3;2;35;1;1;good
899;no checking;existing paid;15;2186;1;4;33;1;1;good
900;<0;existing paid;18;4153;2;3;42;1;1;bad
901;<0;critical/other existing credit;16;2625;2;4;43;1;1;bad
902;no checking;critical/other existing credit;20;3485;2;4;44;2;1;good
903;no checking;critical/other existing credit;36;10477;2;4;42;2;1;good
904;no checking;existing paid;15;1386;4;2;40;1;1;good
905;no checking;existing paid;24;1278;4;1;36;1;1;good
906;<0;existing paid;12;1107;2;2;20;1;2;good
907;<0;existing paid;21;3763;2;2;24;1;1;good
908;0<=X<200;existing paid;36;3711;2;2;27;1;1;good
909;no checking;delayed previously;15;3594;1;2;46;2;1;good
910;0<=X<200;existing paid;9;3195;1;2;33;1;1;good
911;no checking;delayed previously;36;4454;4;4;34;2;1;good
912;0<=X<200;critical/other existing credit;24;4736;2;4;25;1;1;bad
913;0<=X<200;existing paid;30;2991;2;4;25;1;1;good
914;no checking;existing paid;11;2142;1;2;28;1;1;good
915;<0;all paid;24;3161;4;2;31;1;1;bad
916;0<=X<200;no credits/all paid;48;18424;1;2;32;1;1;bad
917;no checking;existing paid;10;2848;1;2;32;1;2;good
918;<0;existing paid;6;14896;1;4;68;1;1;bad
919;<0;existing paid;24;2359;1;1;33;1;1;bad
920;<0;existing paid;24;3345;4;2;39;1;1;bad
921;no checking;critical/other existing credit;18;1817;4;2;28;2;1;good
922;no checking;delayed previously;48;12749;4;1;37;1;1;good
923;<0;existing paid;9;1366;3;4;22;1;1;bad
924;0<=X<200;existing paid;12;2002;3;4;30;1;2;good
925;<0;all paid;24;6872;2;1;55;1;1;bad
926;<0;all paid;12;697;4;2;46;2;1;bad
927;<0;critical/other existing credit;18;1049;4;4;21;1;1;good
928;<0;existing paid;48;10297;4;4;39;3;2;bad
929;no checking;existing paid;30;1867;4;4;58;1;1;good
930;<0;delayed previously;12;1344;4;2;43;2;2;good
931;<0;existing paid;24;1747;4;1;24;1;1;good
932;0<=X<200;existing paid;9;1670;4;2;22;1;1;bad
933;no checking;critical/other existing credit;9;1224;3;1;30;2;1;good
934;no checking;critical/other existing credit;12;522;4;4;42;2;2;good
935;<0;existing paid;12;1498;4;1;23;1;1;good
936;0<=X<200;delayed previously;30;1919;4;3;30;2;1;bad
937;>=200;existing paid;9;745;3;2;28;1;1;bad
938;0<=X<200;existing paid;6;2063;4;3;30;1;1;good
939;0<=X<200;existing paid;60;6288;4;4;42;1;1;bad
940;no checking;critical/other existing credit;24;6842;2;4;46;2;2;good
941;no checking;existing paid;12;3527;2;3;45;1;2;good
942;no checking;existing paid;10;1546;3;2;31;1;2;good
943;no checking;existing paid;24;929;4;2;31;1;1;good
944;no checking;critical/other existing credit;4;1455;2;1;42;3;2;good
945;<0;existing paid;15;1845;4;1;46;1;1;good
946;0<=X<200;no credits/all paid;48;8358;1;1;30;2;1;good
947;<0;all paid;24;3349;4;4;30;1;2;bad
948;no checking;existing paid;12;2859;4;4;38;1;1;good
949;no checking;existing paid;18;1533;4;1;43;1;2;bad
950;no checking;existing paid;24;3621;2;4;31;2;1;bad
951;0<=X<200;critical/other existing credit;18;3590;3;3;40;3;2;good
952;<0;delayed previously;36;2145;2;1;24;2;1;bad
953;0<=X<200;existing paid;24;4113;3;4;28;1;1;bad
954;no checking;existing paid;36;10974;4;2;26;2;1;bad
955;<0;existing paid;12;1893;4;4;29;1;1;good
956;<0;critical/other existing credit;24;1231;4;4;57;2;1;good
957;>=200;critical/other existing credit;30;3656;4;4;49;2;1;good
958;0<=X<200;critical/other existing credit;9;1154;2;4;37;3;1;good
959;<0;existing paid;28;4006;3;2;45;1;1;bad
960;0<=X<200;existing paid;24;3069;4;4;30;1;1;good
961;no checking;critical/other existing credit;6;1740;2;2;30;2;1;good
962;0<=X<200;delayed previously;21;2353;1;4;47;2;1;good
963;no checking;existing paid;15;3556;3;2;29;1;1;good
964;no checking;existing paid;24;2397;3;2;35;2;1;bad
965;0<=X<200;existing paid;6;454;3;1;22;1;1;good
966;0<=X<200;existing paid;30;1715;4;1;26;1;1;good
967;0<=X<200;critical/other existing credit;27;2520;4;2;23;2;1;bad
968;no checking;existing paid;15;3568;4;2;54;1;1;good
969;no checking;existing paid;42;7166;2;4;29;1;1;good
970;<0;critical/other existing credit;11;3939;1;2;40;2;2;good
971;0<=X<200;existing paid;15;1514;4;2;22;1;1;good
972;no checking;existing paid;24;7393;1;4;43;1;2;good
973;<0;all paid;24;1193;1;4;29;2;1;bad
974;<0;existing paid;60;7297;4;4;36;1;1;bad
975;no checking;critical/other existing credit;30;2831;4;2;33;1;1;good
976;>=200;existing paid;24;1258;3;3;57;1;1;good
977;0<=X<200;existing paid;6;753;2;3;64;1;1;good
978;0<=X<200;delayed previously;18;2427;4;2;42;2;1;good
979;no checking;delayed previously;24;2538;4;4;47;2;2;bad
980;0<=X<200;all paid;15;1264;2;2;25;1;1;bad
981;0<=X<200;critical/other existing credit;30;8386;2;2;49;1;1;bad
982;no checking;existing paid;48;4844;3;2;33;1;1;bad
983;>=200;existing paid;21;2923;1;1;28;1;1;good
984;<0;existing paid;36;8229;2;2;26;1;2;bad
985;no checking;critical/other existing credit;24;2028;2;2;30;2;1;good
986;<0;critical/other existing credit;15;1433;4;3;25;2;1;good
987;>=200;no credits/all paid;42;6289;2;1;33;2;1;good
988;no checking;existing paid;13;1409;2;4;64;1;1;good
989;<0;existing paid;24;6579;4;2;29;1;1;good
990;0<=X<200;critical/other existing credit;24;1743;4;2;48;2;1;good
991;no checking;critical/other existing credit;12;3565;2;1;37;2;2;good
992;no checking;all paid;15;1569;4;4;34;1;2;good
993;<0;existing paid;18;1936;2;4;23;2;1;good
994;<0;existing paid;36;3959;4;3;30;1;1;good
995;no checking;existing paid;12;2390;4;3;50;1;1;good
996;no checking;existing paid;12;1736;3;4;31;1;1;good
997;<0;existing paid;30;3857;4;4;40;1;1;good
998;no checking;existing paid;12;804;4;4;38;1;1;good
999;<0;existing paid;45;1845;4;4;23;1;1;bad
1000;0<=X<200;critical/other existing credit;45;4576;3;4;27;1;1;good
